epoca,erro_medio
1,2.33249145
2,1.99462802
3,1.97329969
4,1.97191977
5,1.95690947
6,1.97663650
7,1.95696151
8,1.96406380
9,1.95651058
10,1.96445048
11,1.95564203
12,1.95046696
13,1.95040017
14,1.95037795
15,1.98134330
16,1.95042549
17,1.95042208
18,1.95041553
19,1.95035845
20,1.94874504
21,1.95043225
22,1.95041863
23,1.95040280
24,1.96725300
25,1.97350211
26,1.95902214
27,1.95895901
28,1.96533758
29,1.96122210
30,1.96248162
31,1.96389081
32,1.96318008
33,1.96490410
34,1.97616576
35,1.97628948
36,1.97628907
37,1.97628862
38,1.97628811
39,1.97628752
40,1.97628680
41,1.97628586
42,1.97628455
43,1.97628251
44,1.97627866
45,1.97626741
46,1.97620655
47,1.97619461
48,1.97631347
49,1.97628300
50,1.97627989
51,1.97627425
52,1.97626401
53,1.97629550
54,1.97624315
55,1.97641792
56,1.97629132
57,1.97629120
58,1.97629107
59,1.97629093
60,1.97629076
61,1.97629057
62,1.97629035
63,1.97629010
64,1.97628978
65,1.97628941
66,1.97628893
67,1.97628833
68,1.97628754
69,1.97628649
70,1.97628512
71,1.97628350
72,1.97628213
73,1.97628161
74,1.97628159
75,1.97628146
76,1.97628118
77,1.97628080
78,1.97628034
79,1.97627978
80,1.97627912
81,1.97627832
82,1.97627740
83,1.97627638
84,1.97627538
85,1.97627452
86,1.97627381
87,1.97627311
88,1.97627231
89,1.97627130
90,1.97626999
91,1.97626816
92,1.97626543
93,1.97626089
94,1.97625168
95,1.97622527
96,1.97630028
97,1.97628520
98,1.97628513
99,1.97628506
100,1.97628499
101,1.97628490
102,1.97628480
103,1.97628468
104,1.97628455
105,1.97628439
106,1.97628419
107,1.97628395
108,1.97628364
109,1.97628323
110,1.97628266
111,1.97628182
112,1.97628044
113,1.97627776
114,1.97627015
115,1.97761537
116,1.97630350
117,1.97628744
118,1.97628722
119,1.97628707
120,1.97628694
121,1.97628685
122,1.97628677
123,1.97628670
124,1.97628664
