epoca,erro_validacao
1,1.97958206
2,1.98885000
3,1.98947664
4,1.97979957
5,1.99060454
6,1.98384798
7,1.98210040
8,2.00714050
9,1.97891155
10,1.98385316
11,1.97989040
12,1.97988788
13,1.97988001
14,1.97978316
15,1.97999203
16,1.97998921
17,1.97998361
18,1.97997013
19,1.97883713
20,1.97985615
21,1.97990288
22,1.97988971
23,1.97987415
24,1.97493643
25,1.98989344
26,1.98982930
27,1.98903602
28,1.98841466
29,1.98711745
30,1.98993680
31,1.98993380
32,1.98992522
33,1.98850099
34,1.99999697
35,1.99999673
36,1.99999644
37,1.99999608
38,1.99999563
39,1.99999504
40,1.99999423
41,1.99999307
42,1.99999125
43,1.99998794
44,1.99998012
45,1.99994244
46,1.99980792
47,1.99992016
48,1.99999753
49,1.99999691
50,1.99999582
51,1.99999357
52,1.99998873
53,1.99999731
54,1.99998500
55,1.99999974
56,1.99999974
57,1.99999973
58,1.99999973
59,1.99999972
60,1.99999972
61,1.99999971
62,1.99999970
63,1.99999970
64,1.99999970
65,1.99999970
66,1.99999971
67,1.99999975
68,1.99999985
69,2.00000009
70,2.00000068
71,2.00000210
72,2.00000468
73,2.00000731
74,2.00000873
75,2.00000927
76,2.00000950
77,2.00000966
78,2.00000982
79,2.00001002
80,2.00001027
81,2.00001063
82,2.00001115
83,2.00001191
84,2.00001291
85,2.00001397
86,2.00001485
87,2.00001551
88,2.00001607
89,2.00001665
90,2.00001733
91,2.00001819
92,2.00001929
93,2.00002041
94,2.00001815
95,1.99995431
96,2.00000362
97,2.00000359
98,2.00000356
99,2.00000352
100,2.00000347
101,2.00000342
102,2.00000336
103,2.00000329
104,2.00000320
105,2.00000310
106,2.00000297
107,2.00000281
108,2.00000260
109,2.00000232
110,2.00000191
111,2.00000129
112,2.00000018
113,1.99999774
114,1.99998813
115,2.00000416
116,2.00000416
117,2.00000416
118,2.00000416
119,2.00000416
120,2.00000416
121,2.00000416
122,2.00000416
123,2.00000415
124,2.00000415
