epoca,erro_medio
1,2.28985269
2,1.90400280
3,1.89168867
4,1.86259622
5,1.83373412
6,1.83062404
7,1.80471951
8,1.79471632
9,1.80887430
10,1.79491308
11,1.76091958
12,1.73578518
13,1.74302204
14,1.77322636
15,1.73635788
16,1.73255637
17,1.73199413
18,1.74612667
19,1.70773892
20,1.72086750
21,1.72039857
22,1.71711798
23,1.68319982
24,1.71733084
25,1.65283050
26,1.67068601
27,1.68517481
28,1.64916389
29,1.66335432
30,1.67025012
31,1.69391272
32,1.66280285
33,1.66515555
34,1.69083735
35,1.64350494
36,1.63327267
37,1.62886981
38,1.64648452
39,1.64100230
40,1.65258425
41,1.63615234
42,1.63895743
43,1.61244452
44,1.60582218
45,1.59581276
46,1.63811872
47,1.60672956
48,1.54802613
49,1.57591425
50,1.58120388
51,1.60271747
52,1.60566728
53,1.58431131
54,1.59084748
55,1.62956632
56,1.60709298
57,1.58917670
58,1.57910603
59,1.53992466
60,1.53686805
61,1.52162632
62,1.54465318
63,1.50281840
64,1.49986344
65,1.50194253
66,1.48441387
67,1.53855933
68,1.50786596
69,1.46738428
70,1.46925767
71,1.49147724
72,1.47766922
73,1.47734189
74,1.41252713
75,1.46950685
76,1.52913830
77,1.47902089
78,1.46977420
79,1.51222696
80,1.58366308
81,1.52330355
82,1.50323549
83,1.43655591
84,1.45364679
85,1.47227313
86,1.47017554
87,1.46357958
88,1.41509929
89,1.42109541
90,1.41394933
91,1.45169782
92,1.45200019
93,1.48474809
94,1.54527485
95,1.42975541
96,1.43775664
97,1.44825025
98,1.44918460
99,1.42555871
100,1.42675120
101,1.38254205
102,1.34903917
103,1.37778857
104,1.38959477
105,1.37034808
106,1.33164212
107,1.35616328
108,1.33123173
109,1.29328582
110,1.31578635
111,1.35217154
112,1.39420422
113,1.52377224
114,1.54115473
115,1.46385366
116,1.52407386
117,1.50202940
118,1.45172552
119,1.44055056
120,1.41635180
121,1.46138902
122,1.42687735
123,1.42637268
124,1.43163202
125,1.40594779
126,1.40696322
127,1.41354956
128,1.40198560
129,1.36086709
130,1.35963654
131,1.40035207
132,1.37164494
133,1.31069866
134,1.32378951
135,1.31140295
136,1.31780219
137,1.31309836
138,1.29614145
139,1.32732712
140,1.29982729
141,1.39011375
142,1.44561606
143,1.47345955
144,1.41664996
145,1.39097842
146,1.34240753
147,1.37234898
148,1.43572169
149,1.41723360
150,1.45418576
151,1.40446583
152,1.32764615
153,1.31156256
154,1.28922652
155,1.32414511
156,1.36545863
157,1.34739378
158,1.35066469
159,1.33240704
160,1.31460438
161,1.31996597
162,1.30335735
163,1.31207634
164,1.25870780
165,1.24071763
166,1.35059351
167,1.37692547
168,1.29063574
169,1.28331243
170,1.27831819
171,1.30429410
172,1.36320840
173,1.34041407
174,1.32350575
175,1.29502385
176,1.25585026
177,1.28642197
178,1.25663551
179,1.26824773
180,1.25799195
181,1.25669670
182,1.21874484
183,1.22626604
184,1.27732598
185,1.30491852
186,1.28547292
187,1.26766817
188,1.22589234
189,1.26227085
190,1.23609280
191,1.21044162
192,1.24562631
193,1.20489031
194,1.18107298
195,1.16624057
196,1.18762484
197,1.19828619
198,1.19085583
199,1.14781925
200,1.15338319
201,1.15348322
202,1.20006705
203,1.17210103
204,1.20032586
205,1.28375135
206,1.21000315
207,1.23869225
208,1.17973964
209,1.19379434
210,1.18869420
211,1.20428981
212,1.22606145
213,1.18071487
214,1.19110594
215,1.15446103
216,1.17802021
217,1.16879612
218,1.13870386
219,1.16135753
220,1.21458617
221,1.19960127
222,1.16109572
223,1.22079933
224,1.31792752
225,1.28113340
226,1.23628491
227,1.20787310
228,1.18413705
229,1.15005326
230,1.13122092
231,1.12690899
232,1.11610550
233,1.11348896
234,1.10695539
235,1.13049785
236,1.13790717
237,1.13981656
238,1.11280977
239,1.09279211
240,1.09527625
241,1.10210328
242,1.08934574
243,1.08356434
244,1.08627941
245,1.08039482
246,1.08987203
247,1.08737756
248,1.08010044
249,1.06932406
250,1.06340841
251,1.05568685
252,1.07607482
253,1.06156505
254,1.04805111
255,1.05716103
256,1.04134659
257,1.05112358
258,1.04477212
259,1.06334248
260,1.06961758
261,1.07444124
262,1.06950588
263,1.04740175
264,1.03351025
265,1.13845532
266,1.06739758
267,1.05690442
268,1.02822977
269,1.01885228
270,1.08024518
271,1.07892824
272,1.04132702
273,1.04334462
274,1.03544357
275,1.03845533
276,1.04050350
277,1.05632338
278,1.03653738
279,1.03785722
280,1.08188005
281,1.07306066
282,1.05226050
283,1.03165243
284,1.03426235
285,1.00748307
286,1.01626491
287,1.01928113
288,1.01328436
289,1.03082676
290,1.04176410
291,1.03121068
292,1.04750678
293,1.04936344
294,1.02122046
295,1.01854885
296,1.09405791
297,1.06733760
298,1.08395395
299,1.08611506
300,1.08306814
301,1.04740609
302,1.07092520
303,1.03686246
304,1.04814625
305,1.12123067
306,1.13042889
307,1.02535300
308,1.04221382
309,1.12921171
310,1.11562127
311,1.03931858
312,1.07762565
313,1.04562952
314,1.02694381
315,1.00297704
316,0.99908707
317,0.98328180
318,0.96874526
319,0.95952636
320,0.96366729
321,0.97814784
322,0.95544197
323,0.98178827
324,0.97297181
325,1.01749088
326,0.99546300
327,0.98459049
328,0.97862190
329,1.00350708
330,1.04116426
331,1.04117511
332,1.05093583
333,0.98635803
334,0.97037617
335,1.03186691
336,1.00818040
337,0.99670355
338,0.97145107
339,0.98874255
340,0.98626261
341,0.99416811
342,0.99925311
343,1.05151452
344,1.02544078
345,1.03451912
346,0.98807266
347,0.96476176
348,0.98051545
349,0.95878355
350,0.98938982
351,0.94866522
352,0.98400671
353,0.99718714
354,0.98860754
355,0.95296868
356,0.94492343
357,0.98127119
358,0.96689011
359,0.91584119
360,0.89569938
361,0.91339250
362,0.93989183
363,1.11187318
364,1.01686799
365,1.04415506
366,1.02260598
367,1.01028144
368,1.00629404
369,1.02524927
370,1.02648494
371,1.07187457
372,1.23937611
373,1.22706452
374,1.11987034
375,1.09813888
376,1.09045203
377,1.06294034
378,1.06165922
379,1.07633930
380,1.03875620
381,1.07023659
382,1.06663858
383,1.06019736
